,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
316,2,10.922684,10.991237,14273,4072,22846,2918,0.13721648569597072,0.12983962561814488
317,3,11.505873,10.791976,14273,4072,26656,5203,0.07143036475986905,0.15109077142196203
318,4,13.128738,10.691868,14273,4072,15617,2661,0.0,0.1615636426744132
319,5,12.228154,10.599997,14273,4072,20469,4853,0.0,0.17106877741538282
320,6,12.725177,10.595278,14273,4072,6932,3442,0.0,0.17155442312360478
321,7,12.800016000000001,10.534180000000001,14273,4072,14441,4153,0.0,0.17782028823757612
322,8,11.211282,10.303293,14273,4072,25392,3638,0.10561325604191706,0.20115732919815202
323,9,13.380734,10.28894,14273,4072,18208,3169,0.0,0.2025914808895155
324,10,12.147905,9.982375,14273,4072,27566,5491,0.0,0.23281063220559714
325,11,10.381592999999999,9.43276,14273,4072,29231,7241,0.19330058536796627,0.2852905986355925
326,12,12.716611,9.419225,14273,4072,22764,3342,0.0,0.2865590221317751
327,13,12.609791,9.399755,14273,4072,23854,2869,0.0,0.2883817778270512
328,14,11.05384,9.399755,14273,4072,2472,891,0.12303681508215661,0.2883817778270512
329,15,12.992650999999999,9.386892999999999,14273,4072,27860,5236,0.0,0.2895847030550471
330,1,9.643982000000001,9.643982000000001,28799,10004,9124,2618,0.3441324154389433,0.3441324154389433
331,2,12.145621,9.501228999999999,28799,10004,21446,4770,0.12738846546325516,0.35565002607594415
332,3,11.250842,9.448961,28799,10004,8858,2688,0.2089690104455347,0.3598502976723757
333,4,8.41794,9.375327,28799,10004,1373,554,0.44100507035660974,0.3657525523529129
334,5,10.307967,8.97241,28799,10004,42785,5917,0.28961127889187066,0.3977495747516746
335,6,9.936988000000001,8.789407,28799,10004,22187,4003,0.32027309081572647,0.41212219333985783
336,7,10.392377,8.700675,28799,10004,30971,6405,0.2825587793728264,0.41905637838121085
337,8,10.943942999999999,8.662581,28799,10004,31074,5541,0.23570020896587052,0.422026511859033
338,9,13.502406,8.655035,28799,10004,34921,5476,0.0,0.42261437991414785
339,10,13.035908000000001,8.650263,28799,10004,19361,4427,0.035707880357276664,0.422986058490342
340,11,10.081277,8.649067,28799,10004,2720,1090,0.30841006835154994,0.4230792018295596
341,12,9.398766,8.625086999999999,28799,10004,7368,1933,0.36387564954535734,0.424945899648762
342,13,13.20064,8.610725,28799,10004,19838,5745,0.01507493842203662,0.4260631282285112
343,14,9.831761,8.59938,28799,10004,3143,1198,0.32887648706271577,0.42694525783045056
344,15,12.301573,8.593728,28799,10004,14753,2693,0.11240946162893127,0.4273845955495326
345,1,10.581754,10.581754,40229,7793,18204,4040,0.24340456942388458,0.24340456942388458
346,2,8.059678,7.855986,40229,7793,18657,2793,0.45342927231328106,0.4694619186280945
347,3,11.917157000000001,7.82177,40229,7793,13494,2330,0.11886999648565703,0.47214361356432066
348,4,11.206061,7.700457000000001,40229,7793,35867,6105,0.18694224453545602,0.4816254255891342
349,5,8.975298,7.436889999999999,40229,7793,40289,4989,0.3798335945224011,0.50208747457235
350,6,11.706921000000001,7.386449000000001,40229,7793,44966,7065,0.13953492100105902,0.5059822128538057
351,7,14.921864000000001,7.385492,40229,7793,39496,4478,0.0,0.5060560411211006
352,8,11.727807,7.371532000000001,40229,7793,20791,4223,0.1375053893540127,0.507132716870335
353,9,6.732678999999999,7.371532000000001,40229,7793,131,82,0.5558631757856689,0.507132716870335
354,10,9.672586,7.189584,40229,7793,35073,5641,0.32191484175792345,0.5211186885961845
355,11,13.153648,7.187191,40229,7793,15706,2929,0.0,0.5213020567047426
356,12,9.385002,7.1748449999999995,40229,7793,6035,2057,0.3460174598822246,0.522247855521305
357,13,8.291861,6.962376,40229,7793,31980,6406,0.435008621434052,0.5384629227637298
358,14,11.283275,6.960442,40229,7793,9964,4301,0.1797746518057242,0.5386099882376661
