,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
318,14,11.878712,7.744459,14273,4072,16681,6958,0.022180462958028384,0.43657724333773
319,15,8.978417,7.6464289999999995,14273,4072,22605,11084,0.32731692499834036,0.4449934009725783
320,1,13.058917999999998,13.058917999999998,28799,10004,34364,13889,0.03299272869622725,0.03299272869622725
321,2,10.889652,12.089334,28799,10004,8855,5386,0.24037659737350223,0.13272561319158244
322,3,9.586603,9.523808,28799,10004,26505,15086,0.3487700411702409,0.3538328077632557
323,4,10.489939,9.308709,28799,10004,31583,15739,0.27437028617652753,0.3710775228006857
324,5,11.883807000000001,9.226205,28799,10004,33376,15083,0.15194104469852351,0.3776529827684936
325,6,13.362058,9.202428999999999,28799,10004,34385,13163,0.0,0.3795439759473824
326,7,13.844636999999999,9.194925999999999,28799,10004,33337,13198,0.0,0.3801403557166623
327,8,9.789572999999999,9.089692999999999,28799,10004,13892,7996,0.3323146994982001,0.38848673885728835
328,9,13.199701999999998,9.071545,28799,10004,31165,12185,0.015204057523895555,0.3899227272673887
329,10,14.876592,9.071131,28799,10004,32617,12945,0.0,0.3899554741087932
330,11,9.772217999999999,8.855421,28799,10004,29886,15414,0.33372726958634813,0.40694879520242566
331,12,12.622641999999999,8.841096,28799,10004,32313,14226,0.08047400951624288,0.4080724838376499
332,13,10.072025,8.838771000000001,28799,10004,2536,1699,0.30917307852816023,0.4082548068280031
333,14,12.862235,8.820909,28799,10004,33929,14085,0.055253622754115564,0.40965499922510673
334,15,13.384835999999998,8.812832,28799,10004,31503,12298,0.0,0.4102878499402634
335,1,9.224322,9.224322,40229,7793,17913,8698,0.35935010491324215,0.35935010491324215
336,2,9.782110000000001,8.661333,40229,7793,32539,15081,0.3126505906704064,0.40536328544418315
337,3,8.915417,8.179007,40229,7793,29890,14591,0.38472765141419685,0.4439817467369859
338,4,8.667785,8.114123,40229,7793,6881,4226,0.4048418453068478,0.44912385926103604
339,5,8.692403,7.915522,40229,7793,14286,7733,0.4028510480399439,0.46478795157837377
340,6,12.79528,7.895602,40229,7793,23725,9513,0.022082370252036264,0.46635290941981006
341,7,13.763826000000002,7.8849800000000005,40229,7793,29908,11747,0.0,0.46718694083024537
342,8,12.163368,7.850639,40229,7793,31982,13406,0.09388414255969964,0.4698812075137501
343,9,9.404989,7.7613259999999995,40229,7793,28325,12499,0.34435243974681967,0.47687299037609787
344,10,13.651604999999998,7.752860000000001,40229,7793,33144,12426,0.0,0.47753459641141927
345,11,13.966764000000001,7.7475179999999995,40229,7793,32989,12718,0.0,0.4779519644735508
346,12,8.62876,7.612361,40229,7793,18575,10101,0.4079937781104557,0.4884856781187487
347,13,9.572646,7.611071000000001,40229,7793,1843,1249,0.33032682948476805,0.488585976610598
