,r,Hx,CHx,CHxA,PiEgoGalters,PiEgoGaltersAndEgo
329,15,11.027839,5.436747,5.318803,0.6187283563704505,0.628185126607975
330,1,7.29451,7.29451,6.339395,0.497923373961078,0.5728813562794828
331,2,15.873132,7.29451,6.339395,0.497923373961078,0.5728813562794828
332,3,11.459004,7.172469,6.301091,0.5076453980327819,0.5758347953954122
333,4,11.90789,7.115003,6.281485,0.5122082670066903,0.5773449861583577
334,5,13.093262,7.087772,6.270328,0.5143671145872245,0.5782039127702676
335,6,14.740697,7.08549,6.269385,0.5145479325132616,0.5782764946524801
336,7,14.718061,7.076467,6.263442,0.5152627378799631,0.578733866957946
337,8,14.318248,7.072946,6.261348,0.515541609390507,0.5788949981628518
338,9,12.732471,7.067447,6.258572,0.5159770720126866,0.5791085903607825
339,10,10.888801,7.043369,6.248099,0.5178827743332416,0.5799142214763165
340,11,14.838009,7.041615,6.246864,0.5180215333701081,0.5800092038498559
341,12,14.044213,7.037375,6.244562,0.5183569236571026,0.5801862369504276
342,13,11.500254,6.994382,6.22217,0.5217548340395819,0.5819075277574219
343,14,13.543368,6.992707,6.221139,0.5218871093835485,0.581986749047341
344,15,13.651548,6.986432,6.217153,0.5223825773504975,0.5822930034890277
345,1,7.218578,7.218578,4.412835,0.48502774927002357,0.7068679156273016
346,2,11.784587,7.104136,4.400282,0.49455039339060247,0.707808216597637
347,3,9.690433,6.859224,4.363732,0.5147847741021272,0.7105434184934203
348,4,10.872414,6.731509,4.325853,0.5252597200837914,0.7133739402973571
349,5,7.331304,6.206387,4.213677,0.5677926286088845,0.7217315847736346
350,6,7.425351,6.029002,4.168384,0.5819695431577364,0.7250956140636936
351,7,7.562245,5.97407,4.149749,0.5863406305135642,0.7264779233042932
352,8,8.237146,5.95511,4.147369,0.5878472345730005,0.7266543932211271
353,9,7.870058,5.919136,4.139098,0.590702861113841,0.727267532844554
354,10,10.2609,5.893394,4.129947,0.5927439019819069,0.7279456718849563
355,11,6.714185,5.871589,4.123468,0.5944712424703307,0.7284256511230676
356,12,7.555482,5.829281,4.10975,0.597818753564948,0.729441501494696
357,13,8.363403,5.80477,4.100722,0.5997556941781743,0.7301097417463285
358,14,9.392048,5.787459,4.094692,0.601122594650473,0.7305559394094701
359,15,5.367865,4.549643,3.741153,0.6965902275661177,0.7565265431649121
360,1,8.996554,8.996554,7.811587,0.3991782138557656,0.49007266395089116
361,2,13.7171,8.909584,7.793655,0.4059785759803087,0.4914204170056617
362,3,8.591096,7.973879,7.483589,0.4778388821614519,0.5146013750283249
363,4,9.097589,7.63078,7.294504,0.5036260758837114,0.5286249933391178
364,5,8.472124,7.47298,7.19003,0.5153904370238146,0.5363374009909789
365,6,8.211653,7.448781,7.184392,0.51718927781263,0.5367528828994264
366,7,8.414373,7.434046,7.177655,0.5182839288446944,0.5372492567997632
367,8,8.077909,7.430006,7.175482,0.5185839673071855,0.5374093383111789
368,9,8.408313,7.414114,7.166994,0.5197638429079945,0.5380345310465953
369,10,11.799195,7.378181,7.14567,0.5224294303702842,0.5396044363952497
370,11,14.59137,7.367643,7.137393,0.523210584544937,0.5402135180578618
371,12,15.336197,7.367434,7.137297,0.5232260745193348,0.5402205815037664
372,13,14.266303,7.344164,7.117358,0.5249500810506124,0.5416871826015425
373,14,8.006142,7.337213,7.112734,0.5254648134636207,0.542027166875777
